"igpm_2014_2018";"valor_receita_publica";"rank_receita_uf";"indicador_competitividade";"n_votos";"valor_receita_total";"n_vagas_uf";"situacao_eleitoral";"sexo";"cargo";"ano_eleicao";"uf";"rank_votacao_uf"
"1,3121289";"50000";"51";"Não competitivo";"21715";"110500";"17";"SUPLENTE";"MASCULINO";"DEPUTADO FEDERAL";"2018";"GO";"36"
"1,3121289";"492683,68";"18";"Não competitivo";"11440";"770633,68";"8";"SUPLENTE";"FEMININO";"DEPUTADO FEDERAL";"2018";"MT";"29"
"1,3121289";"1760";"72";"Não competitivo";"8320";"17745,96";"8";"NÃO ELEITO";"MASCULINO";"DEPUTADO FEDERAL";"2018";"MS";"29"
"1,3121289";"19,09";"119";"Não competitivo";"461";"2833,7";"8";"NÃO ELEITO";"MASCULINO";"DEPUTADO FEDERAL";"2018";"MT";"94"
"1,3121289";"2580";"138";"Não competitivo";"331";"5080";"8";"NÃO ELEITO";"MASCULINO";"DEPUTADO FEDERAL";"2018";"DF";"139"
"1,3121289";"8036,03";"128";"Não competitivo";"726";"8196,03";"8";"SUPLENTE";"FEMININO";"DEPUTADO FEDERAL";"2018";"DF";"110"
"1,3121289";"15000";"99";"Não competitivo";"831";"20000";"8";"SUPLENTE";"MASCULINO";"DEPUTADO FEDERAL";"2018";"DF";"105"
"1,3121289";"5244,4";"114";"Não competitivo";"4129";"14983,09";"8";"SUPLENTE";"MASCULINO";"DEPUTADO FEDERAL";"2018";"DF";"57"
"1,3121289";"900000";"18";"Competitivo";"111788";"1258573,98";"17";"ELEITO POR QP";"MASCULINO";"DEPUTADO FEDERAL";"2018";"GO";"4"
"1,3121289";"806750";"16";"Competitivo";"51015";"849716,97";"8";"ELEITO POR MÉDIA";"FEMININO";"DEPUTADO FEDERAL";"2018";"MT";"8"
"1,3121289";"50000";"57";"Não competitivo";"665";"50000";"8";"SUPLENTE";"FEMININO";"DEPUTADO FEDERAL";"2018";"MT";"87"
"1,3121289";;"96";"Não competitivo";"2957";"17205,26";"17";"NÃO ELEITO";"MASCULINO";"DEPUTADO FEDERAL";"2018";"GO";"68"
"1,3121289";;"206";"Não competitivo";"2496";"100";"17";"SUPLENTE";"MASCULINO";"DEPUTADO FEDERAL";"2018";"GO";"78"
"1,3121289";"420000";"13";"Não competitivo";"10067";"439115";"8";"SUPLENTE";"MASCULINO";"DEPUTADO FEDERAL";"2018";"MS";"23"
"1,3121289";;"130";"Não competitivo";"694";"7798,93";"8";"NÃO ELEITO";"MASCULINO";"DEPUTADO FEDERAL";"2018";"DF";"112"
"1,3121289";;"22";"Não competitivo";"5597";"465090";"8";"SUPLENTE";"MASCULINO";"DEPUTADO FEDERAL";"2018";"MT";"43"
"1,3121289";"50000";"30";"Não competitivo";"1144";"51662,32";"9";"SUPLENTE";"FEMININO";"DEPUTADO FEDERAL";"2018";"AL";"48"
"1,3121289";"128385,42";"25";"Competitivo";"31937";"189256,42";"9";"SUPLENTE";"MASCULINO";"DEPUTADO FEDERAL";"2018";"AL";"14"
"1,3121289";"31874,28";"78";"Não competitivo";"1084";"32344,28";"8";"NÃO ELEITO";"MASCULINO";"DEPUTADO FEDERAL";"2018";"DF";"100"
"1,3121289";"56984,56";"49";"Não competitivo";"1229";"100681,23";"8";"SUPLENTE";"MASCULINO";"DEPUTADO FEDERAL";"2018";"DF";"96"
"1,3121289";"1054";"46";"Competitivo";"31190";"132938,29";"17";"ELEITO POR QP";"MASCULINO";"DEPUTADO FEDERAL";"2018";"GO";"28"
"1,3121289";"725000";"13";"Competitivo";"53793";"737000";"9";"NÃO ELEITO";"FEMININO";"DEPUTADO FEDERAL";"2018";"AL";"11"
