"igpm_2014_2018";"valor_receita_publica";"rank_receita_uf";"indicador_competitividade";"n_votos";"valor_receita_total";"n_vagas_uf";"situacao_eleitoral";"sexo";"cargo";"ano_eleicao";"uf";"rank_votacao_uf"
"1,3121289";"101000";"42";"Não competitivo";"7258";"103000";"18";"SUPLENTE";"MASCULINO";"DEPUTADO FEDERAL";"2018";"MA";"56"
"1,3121289";"38042,86";"84";"Não competitivo";"105";"38242,86";"22";"SUPLENTE";"FEMININO";"DEPUTADO FEDERAL";"2018";"CE";"220"
"1,3121289";"68687,5";"32";"Não competitivo";"3110";"96594,5";"8";"SUPLENTE";"MASCULINO";"DEPUTADO FEDERAL";"2018";"RN";"54"
"1,3121289";"801850";"17";"Competitivo";"111584";"943629,2";"18";"ELEITO POR QP";"MASCULINO";"DEPUTADO FEDERAL";"2018";"MA";"5"
"1,3121289";"19040";"32";"Não competitivo";"10930";"126320";"10";"NÃO ELEITO";"MASCULINO";"DEPUTADO FEDERAL";"2018";"PI";"25"
"1,3121289";"2600";"168";"Não competitivo";"137";"2600";"25";"NÃO ELEITO";"MASCULINO";"DEPUTADO FEDERAL";"2018";"PE";"282"
"1,3121289";;"116";"Não competitivo";"8277";"14232";"25";"SUPLENTE";"MASCULINO";"DEPUTADO FEDERAL";"2018";"PE";"62"
"1,3121289";;"135";"Não competitivo";"2003";"6270";"18";"NÃO ELEITO";"MASCULINO";"DEPUTADO FEDERAL";"2018";"MA";"99"
"1,3121289";"945000";"12";"Competitivo";"101806";"1092900";"18";"ELEITO POR QP";"MASCULINO";"DEPUTADO FEDERAL";"2018";"MA";"10"
"1,3121289";;"91";"Não competitivo";"347";"1020";"8";"NÃO ELEITO";"MASCULINO";"DEPUTADO FEDERAL";"2018";"RN";"97"
"1,3121289";;"40";"Não competitivo";"14754";"62255";"10";"NÃO ELEITO";"FEMININO";"DEPUTADO FEDERAL";"2018";"PI";"21"
"1,3121289";"17000";"106";"Não competitivo";"501";"17000";"18";"SUPLENTE";"MASCULINO";"DEPUTADO FEDERAL";"2018";"MA";"151"
