uf;sexo;n_eleitos
AC;f;1
AL;f;0
AM;f;1
AP;f;3
BA;f;3
CE;f;2
DF;f;1
ES;f;0
GO;f;2
MA;f;1
MG;f;5
MS;f;1
MT;f;0
PA;f;3
PB;f;0
PE;f;1
PI;f;2
PR;f;2
RJ;f;6
RN;f;1
RO;f;2
RR;f;2
RS;f;1
SC;f;2
SE;f;0
SP;f;6
TO;f;3
AC;m;7
AL;m;9
AM;m;7
AP;m;5
BA;m;36
CE;m;20
DF;m;7
ES;m;10
GO;m;15
MA;m;17
MG;m;48
MS;m;7
MT;m;8
PA;m;14
PB;m;12
PE;m;24
PI;m;8
PR;m;28
RJ;m;40
RN;m;7
RO;m;6
RR;m;6
RS;m;30
SC;m;14
SE;m;8
SP;m;64
TO;m;5
